School,NCAATeam,NCAAIndiv,NCAATotal,PublicPrivate,AthlStudAid,GSR,Religious Aff,Olympic,HCoachesComp,UGPop,Conference,AthlRev
University of Alabama ,10,102,112,Public,15792,95,N,17,19494,29,SEC,191190
Arizona State,25,153,178,Public,16310,93,N,24,11672,60,BIG 12,128266
University of Arizona,19,180,199,Public,16001,89,N,13,18372,30,BIG 12,138762
Arkansas,52,183,235,Public,14493,88,N,20,15106,23,SEC,170990
Auburn University,15,151,166,Public,18923,94,N,10,16528,23,SEC,192659
Baylor,5,45,50,Private,19754,,Y,8,13510,15,BIG 12,137460
Boston College,6,6,12,Private,24103,94,Y,5,9291,10,ACC,118430
Brown,7,20,27,Private,0,98,N,6,4372,7,IVY,36265
Brigham Young University,11,87,98,Private,6552,80,Y,9,12555,28,BIG 12,106431
Cinncinati,2,6,8,Public,10575,97,N,6,2126,25,BIG 12,77436
Clemson University,3,38,41,Public,13497,97,N,10,16311,22,ACC,152093
Colorado (Boulder),28,149,177,Public,12226,90,N,12,15055,29,BIG 12,136114
Columbia University,16,60,76,Private,0,99,N,8,4601,8,IVY,38336
Cornell University,5,33,38,Private,0,98,N,12,4258,16,IVY,36342
Dartmouth,4,58,62,Private,0,97,N,14,3904,4,IVY,22765
Duke,17,25,42,Private,27601,98,Y,18,10074,7,ACC,152510
University of Florida,43,344,387,Public,10858,95,N,41,15200,31,SEC,176796
Florida State University,12,80,92,Public,7818,87,N,26,11610,29,ACC,170435
University of Georgia,31,235,266,Public,11854,86,N,33,21928,29,SEC,210108
Georgia Tech,1,27,28,Public,13994,92,N,9,10986,16,ACC,115654
Harvard,11,96,107,Private,0,99,N,32,5115,7,IVY,39569
University of Houston,17,66,83,Public,8522,80,N,6,10169,27,BIG 12,84023
University of Illinois,18,169,187,Public,13413,95,N,6,14425,33,BIG 10,134767
Indiana University,24,169,193,Public,18539,90,N,20,11568,35,BIG 10,143221
Iowa,26,140,166,Public,13450,89,N,9,14343,20,BIG 10,166887
Iowa State,26,126,152,Public,9985,95,N,8,10214,24,BIG 12,93048
Kansas,12,74,86,Public,16345,90,N,10,6991,17,BIG 12,205747
Kansas State,0,40,40,Public,8468,93,N,2,9362,13,BIG 12,102333
University of Kentucky,14,48,62,Public,15261,92,N,17,21098,21,SEC,100827
Louisiana State University (LSU),47,241,288,Public,12591,91,N,32,21144,26,SEC,200477
Louisville,3,23,26,Public,14937,93,N,12,13815,11,ACC,155192
University of Maryland,32,15,47,Public,19077,88,N,15,14905,28,ACC,121183
